project_id,report_month,project_name,source_file,flag_category,severity,flag_reason
102000,2026-01,Reconstruction and widening to 2 lane with paved shoulder from existing chainage km of Naushera Tunnel Total length of tunnel 0.700 km under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-V Job no NH-144A-J&K-2020-21-104,FlashReport_January_2026.pdf,EXPENDITURE_DROP,MEDIUM,Cumulative expenditure dropped from 345.14 Cr (2025-06) to 0.0 Cr (2026-01)
109700,2026-06,"Project Assessment, Infrastructure Monitoring and Analytics for Nation-building 930 Construction of 6-lane Greenfield corridor from Ramnagar to Kacchi Dargah NH-119D",FlashReport_June_2026.pdf,LARGE_COST_SHIFT,MEDIUM,Original cost changed significantly from 1113.46 Cr (2026-05) to 104.0 Cr (2026-06)
113300,2026-03,"Project Assessment, Infrastructure Monitoring and Analytics for Nation-building 876 Assam on EPC Package-6",FlashReport_March_2026.pdf,LARGE_COST_SHIFT,MEDIUM,Original cost changed significantly from 625.64 Cr (2026-02) to 95.0 Cr (2026-03)
113300,2026-04,Assam on EPC Package-6,FlashReport_April2026.pdf,LARGE_COST_SHIFT,MEDIUM,Original cost changed significantly from 95.0 Cr (2026-03) to 625.64 Cr (2026-04)
113300,2026-04,Assam on EPC Package-6,FlashReport_April2026.pdf,EXPENDITURE_DROP,MEDIUM,Cumulative expenditure dropped from 625.64 Cr (2026-03) to 0.0 Cr (2026-04)
113300,2026-05,"Project Assessment, Infrastructure Monitoring and Analytics for Nation-building 905 Assam on EPC Package-6",FlashReport_May2026.pdf,LARGE_COST_SHIFT,MEDIUM,Original cost changed significantly from 625.64 Cr (2026-04) to 97.0 Cr (2026-05)
118850,2026-04,Balance work of Widening to 2 Two lane with hard shoulder of Churachandpur to 4A in the State of Manipur on EPC Mode,FlashReport_April2026.pdf,EXPENDITURE_DROP,MEDIUM,Cumulative expenditure dropped from 204.12 Cr (2026-03) to 0.0 Cr (2026-04)
120250,2026-04,"Project Assessment, Infrastructure Monitoring and Analytics for Nation-building 1502 Delhi-Amritsar-Katra Expressway Phase-I Pkg-V from Junction with Ambala-Kaithal- Hissar road NH-152 near Kharak Pandwa village to Junction with Patiala-Samana- Multi-States",FlashReport_April2026.pdf,LARGE_COST_SHIFT,MEDIUM,Original cost changed significantly from 1741.86 Cr (2026-03) to 133.0 Cr (2026-04)
120250,2026-05,Delhi-Amritsar-Katra Expressway Phase-I Pkg-V from Junction with Ambala-Kaithal- Hissar road NH-152 near Kharak Pandwa village to Junction with Patiala-Samana- Multi-States,FlashReport_May2026.pdf,LARGE_COST_SHIFT,MEDIUM,Original cost changed significantly from 133.0 Cr (2026-04) to 1741.86 Cr (2026-05)
124470,2026-05,"Project Assessment, Infrastructure Monitoring and Analytics for Nation-building 1302 134.549",FlashReport_May2026.pdf,LARGE_COST_SHIFT,MEDIUM,Original cost changed significantly from 618.33 Cr (2026-04) to 120.0 Cr (2026-05)
